grupo, algorithm, heuristic,domain, instance, cost,h0, generated, time, gen_per_sec
x, ida, manhattan, 15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 57, 41, 165653545, 33.4346, 4.95456e+06
x, ida, manhattan, 15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 57, 41, 103580582, 21.2194, 4.88142e+06
x, ida, manhattan, 15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 46, 34, 4002237, 0.822732, 4.86457e+06
x, ida, manhattan, 15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 53, 45, 480843, 0.102177, 4.70598e+06
x, ida, manhattan, 15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 50, 38, 2499512, 0.508082, 4.91951e+06
x, ida, manhattan, 15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 49, 35, 7162549, 1.44698, 4.95e+06
x, ida, manhattan, 15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 44, 32, 2278081, 0.460855, 4.94316e+06
x, ida, manhattan, 15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 54, 34, 46174172, 9.38186, 4.92164e+06
x, ida, manhattan, 15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 57, 41, 18499842, 3.78425, 4.88864e+06
x, ida, manhattan, 15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 54, 38, 35656893, 7.38766, 4.82655e+06
