grupo, algorithm, heuristic,weight ,domain, instance, cost,h0, generated, time, gen_per_sec
x, wida, Manhattan ,2 ,15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 63, 70, 85184, 0.003625, 2.3499e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 66, 72, 38715, 0.001969, 1.96623e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 62, 72, 72220, 0.003126, 2.3103e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 56, 60, 64587, 0.002772, 2.32998e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 88, 96, 522658, 0.022385, 2.33486e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 60, 64, 1340881, 0.057093, 2.34859e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 71, 78, 290103, 0.012539, 2.31361e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 63, 70, 7221, 0.000346, 2.08699e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 61, 70, 4619, 0.000244, 1.89303e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 71, 78, 20078, 0.000938, 2.14051e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 63, 66, 13310, 0.000804, 1.65547e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 71, 78, 27441, 0.001222, 2.24558e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 82, 88, 3523, 0.000209, 1.68565e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 68, 76, 273063, 0.011725, 2.3289e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 92, 100, 38788, 0.00169, 2.29515e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 72, 80, 8566, 0.000429, 1.99674e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 51, 58, 76356, 0.003266, 2.33791e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 57, 58, 1280003, 0.055054, 2.325e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 64, 72, 12763, 0.000606, 2.10611e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 67, 74, 9636, 0.000468, 2.05897e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 65, 70, 288072, 0.012642, 2.27869e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 92, 96, 772786, 0.032842, 2.35304e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 53, 62, 241957, 0.010677, 2.26615e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 79, 86, 15355, 0.000894, 1.71756e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 74, 80, 358895, 0.015834, 2.26661e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 59, 62, 645975, 0.027898, 2.31549e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 59, 62, 24264, 0.00104, 2.33308e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 77, 82, 537746, 0.023254, 2.31249e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 56, 553005, 0.02382, 2.3216e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 59, 62, 869085, 0.037444, 2.32103e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 67, 74, 52906, 0.002274, 2.32656e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 60, 60, 837377, 0.036076, 2.32115e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 52, 60, 815376, 0.035299, 2.30991e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 70, 76, 458975, 0.019736, 2.32557e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 67, 74, 26416, 0.001275, 2.07184e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 80, 92, 181467, 0.007664, 2.36778e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 56, 60, 4672, 0.000232, 2.01379e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 71, 82, 98634, 0.004284, 2.30238e+07
x, wida, Manhattan ,2 ,15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 68, 68, 48870, 0.002403, 2.03371e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 77, 82, 77237, 0.003443, 2.24331e+07
x, wida, Manhattan ,2 ,15puzzle_korf, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 54, 56, 8845, 0.000531, 1.66573e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 77, 86, 108827, 0.004636, 2.34743e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 71, 78, 33089, 0.00144, 2.29785e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B', 72, 80, 3343885, 0.141872, 2.35697e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8', 57, 62, 719134, 0.031758, 2.26442e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2', 65, 74, 39963, 0.001788, 2.23507e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15', 58, 64, 44226, 0.001982, 2.23138e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15', 61, 70, 118055, 0.005103, 2.31344e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15', 64, 68, 35344, 0.001542, 2.29209e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4', 83, 86, 16038, 0.000925, 1.73384e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12', 70, 76, 180537, 0.007722, 2.33796e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3', 66, 72, 49035, 0.002094, 2.34169e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 73, 82, 18599, 0.000843, 2.20629e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 63, 74, 71377, 0.003155, 2.26235e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 62, 68, 304119, 0.013071, 2.32667e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 85, 90, 50922, 0.002169, 2.34772e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 62, 68, 11225, 0.000634, 1.7705e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 61, 70, 496134, 0.021653, 2.29129e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 58, 64, 59159, 0.002629, 2.25025e+07
x, wida, Manhattan ,2 ,15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 64, 68, 10176, 0.000525, 1.93829e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 69, 78, 468812, 0.020448, 2.2927e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 72, 76, 1185270, 0.050845, 2.33114e+07
