grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, test.txt, '15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10', 2, 3332, 0.000295, 1.12949e+07
x, dfid, test.txt, '5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15', 2, 755, 6.9e-05, 1.0942e+07
x, dfid, test.txt, '7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15', 2, 559, 5.1e-05, 1.09608e+07
x, dfid, test.txt, '7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15', 2, 1237, 0.000109, 1.13486e+07
x, dfid, test.txt, '1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15', 2, 2729, 0.000236, 1.15636e+07
