grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, pancake16, '14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9', na, na, na, na 
x, dfid, pancake16, '6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0', 8, 7355444899, 248.933, 2.95479e+07
x, dfid, pancake16, '13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14', na, na, na, na 
x, dfid, pancake16, '3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15', 4, 157745, 0.00685, 2.30285e+07
x, dfid, pancake16, '7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15', 3, 21329, 0.00083, 2.56976e+07
x, dfid, pancake16, '10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15', 4, 315175, 0.010584, 2.97784e+07
x, dfid, pancake16, '12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15', na, na, na, na 
x, dfid, pancake16, '4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6', na, na, na, na 
x, dfid, pancake16, '5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4', 8, 3599314008, 96.8089, 3.71796e+07
x, dfid, pancake16, '3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15', 4, 442595, 0.011563, 3.82768e+07
x, dfid, pancake16, '12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15', 2, 633, 1.9e-05, 3.33158e+07
x, dfid, pancake16, '6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4', 4, 582283, 0.01544, 3.77126e+07
x, dfid, pancake16, '15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12', 4, 658911, 0.017175, 3.83645e+07
x, dfid, pancake16, '12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15', na, na, na, na 
x, dfid, pancake16, '11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0', 4, 278037, 0.007177, 3.874e+07
x, dfid, pancake16, '5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7', na, na, na, na 
x, dfid, pancake16, '4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15', 4, 205448, 0.006939, 2.96077e+07
x, dfid, pancake16, '6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15', 2, 1312, 5e-05, 2.624e+07
x, dfid, pancake16, '2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11', na, na, na, na 
x, dfid, pancake16, '4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15', 6, 20805133, 0.538104, 3.86638e+07
x, dfid, pancake16, '6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15', 3, 26618, 0.000705, 3.7756e+07
x, dfid, pancake16, '4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15', na, na, na, na 
x, dfid, pancake16, '7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13', na, na, na, na 
x, dfid, pancake16, '0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15', 6, 40896975, 1.11728, 3.66041e+07
x, dfid, pancake16, '7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1', na, na, na, na 
x, dfid, pancake16, '5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15', 2, 303, 1.5e-05, 2.02e+07
x, dfid, pancake16, '7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15', 2, 558, 1.7e-05, 3.28235e+07
x, dfid, pancake16, '6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15', 2, 1327, 3.9e-05, 3.40256e+07
x, dfid, pancake16, '1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15', 2, 1146, 3.3e-05, 3.47273e+07
x, dfid, pancake16, '13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15', 3, 39760, 0.001038, 3.83044e+07
x, dfid, pancake16, '15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5', na, na, na, na 
