grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, topspin16-4.txt, '3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15', 4, 99954, 0.003412, 2.92948e+07
x, dfid, topspin16-4.txt, '0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15', 2, 1116, 4.1e-05, 2.72195e+07
x, dfid, topspin16-4.txt, '11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15', na, na, na, na 
x, dfid, topspin16-4.txt, '1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15', na, na, na, na 
x, dfid, topspin16-4.txt, '3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15', 8, 157579879, 5.40712, 2.9143e+07
x, dfid, topspin16-4.txt, '0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15', 4, 78738, 0.002716, 2.89904e+07
x, dfid, topspin16-4.txt, '3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15', 4, 33544, 0.001141, 2.93988e+07
x, dfid, topspin16-4.txt, '1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15', na, na, na, na 
x, dfid, topspin16-4.txt, '8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15', na, na, na, na 
x, dfid, topspin16-4.txt, '4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15', 6, 9019924, 0.307731, 2.93111e+07
x, dfid, topspin16-4.txt, '0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15', 6, 3015665, 0.103774, 2.90599e+07
x, dfid, topspin16-4.txt, '14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15', na, na, na, na 
x, dfid, topspin16-4.txt, '2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15', 8, 237992508, 8.1692, 2.91329e+07
x, dfid, topspin16-4.txt, '2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15', 6, 5270685, 0.181058, 2.91105e+07
x, dfid, topspin16-4.txt, '3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15', 6, 5485084, 0.187125, 2.93124e+07
x, dfid, topspin16-4.txt, '0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15', 8, 231256063, 7.93052, 2.91603e+07
x, dfid, topspin16-4.txt, '8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15', 2, 842, 3.6e-05, 2.33889e+07
x, dfid, topspin16-4.txt, '11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15', na, na, na, na 
x, dfid, topspin16-4.txt, '7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15', 6, 6433211, 0.219889, 2.92566e+07
x, dfid, topspin16-4.txt, '11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15', 8, 568123151, 19.4377, 2.92279e+07
x, dfid, topspin16-4.txt, '13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15', 10, 17538716429, 599.767, 2.92425e+07
x, dfid, topspin16-4.txt, '12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15', na, na, na, na 
x, dfid, topspin16-4.txt, '3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15', 6, 4113147, 0.161792, 2.54224e+07
x, dfid, topspin16-4.txt, '14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15', 2, 1574, 6.6e-05, 2.38485e+07
x, dfid, topspin16-4.txt, '3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15', 8, 183552799, 6.29251, 2.917e+07
x, dfid, topspin16-4.txt, '4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15', 8, 446519722, 15.2168, 2.93438e+07
x, dfid, topspin16-4.txt, '7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15', na, na, na, na 
