grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, 11puzzle, '8 1 2 3 B 4 10 5 7 6 9 11', na, na, na, na 
x, dfid, 11puzzle, '1 2 5 6 3 4 7 10 8 9 B 11', 26, 209483053, 35.39, 5.91927e+06
x, dfid, 11puzzle, '1 4 2 3 B 5 10 7 8 6 9 11', na, na, na, na 
x, dfid, 11puzzle, '4 3 2 6 B 8 5 1 7 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '4 2 1 3 B 10 6 5 11 7 9 8', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 4 7 5 B 6 8 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '7 6 4 10 1 2 9 3 5 11 B 8', na, na, na, na 
x, dfid, 11puzzle, '1 2 B 3 6 5 7 8 11 4 9 10', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 B 5 10 4 11 8 9 7', na, na, na, na 
x, dfid, 11puzzle, '3 2 B 6 1 5 10 4 8 7 9 11', 30, 3421498217, 384.2, 8.90551e+06
x, dfid, 11puzzle, '3 2 5 4 1 8 6 7 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '5 8 2 3 6 1 4 11 B 9 7 10', 20, 4726450, 0.71, 6.65697e+06
x, dfid, 11puzzle, '5 6 1 3 B 8 9 2 4 10 7 11', na, na, na, na 
x, dfid, 11puzzle, '5 3 8 1 B 11 6 2 4 9 7 10', na, na, na, na 
x, dfid, 11puzzle, '1 4 2 3 7 5 6 10 8 9 B 11', 28, 814214578, 211.25, 3.85427e+06
x, dfid, 11puzzle, '4 3 2 1 7 5 B 11 10 6 9 8', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 7 6 8 5 4 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '1 2 B 3 4 5 6 7 8 9 10 11', 2, 15, 0, inf
